respondent_id,submission_time,duration_seconds,age_group,gender,emirate,nationality,income,occupation,formal_attire_freq,occasions,accessories_purchased,purchase_freq,buy_location,shopping_channel,spend_tie,spend_socks,main_influence,imp_fabric_quality,imp_design,imp_pricing,imp_brand_rep,imp_comfort,imp_durability,imp_variety,imp_sustainability,brands_purchased,loyalty_factor,willing_try_new,convince_try,purchase_likelihood_6m,saturn_consideration,most_important_feature
R2577,2025-02-08 19:00,261,45–54,Male,Dubai,Arab Expat,"5,000–10,000",Other,Occasionally,Office; Religious Events; Formal Dinners,Dress Socks; Belts,Every 6 months,Online Marketplace,Physical Store,AED 50–100,Under AED 25,Price,4,1,2,4,5,3,4,3,Zara,Quality,Probably Not,Premium Quality,Very Unlikely,Definitely Would Not,Good customer service
R2888,2025-03-28 16:02,345,45–54,Male,Sharjah,South Asian,"Above 35,000",Business Owner,Daily,Office; Weddings; Parties; Religious Events,Pocket Squares,Only when needed,Brand Store,Physical Store,Above AED 300,AED 51–75,Fabric Quality,4,5,4,5,3,5,5,3,Massimo Dutti; Hugo Boss; Charles Tyrwhitt,Customer Service,Not Sure,Influencer Recommendations; Money-back Guarantee,Likely,Probably Would,Strong brand reputation
R1193,2025-03-10 03:37,441,45–54,Male,Abu Dhabi,South Asian,"Above 35,000",Private Employee,Occasionally,Office; Parties; Religious Events,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Belts,Once a year,Shopping Mall,Online,AED 50–100,AED 51–75,Design,4,3,4,5,5,5,5,4,H&M; Hugo Boss,Prestige,Not Sure,Premium Quality; Money-back Guarantee,Unlikely,Probably Would Not,Affordable pricing
R3902,2025-03-25 04:56,318,18–24,Male,Sharjah,Arab Expat,"5,000–10,000",Private Employee,Occasionally,Office; Parties,Dress Socks,Once a year,Brand Website,Online,AED 101–200,Under AED 25,Price,2,2,3,1,4,3,2,2,Zara,Price,Definitely,Premium Quality; Social Media Reviews; Word of Mouth,Likely,Probably Would,Trustworthy after-sales support
R2507,2025-03-19 00:09,199,25–34,Male,Sharjah,South Asian,"5,000–10,000",Self-employed,Once a week,Parties; Formal Dinners,Ties; Dress Socks; Belts,Once a year,Shopping Mall,Online,AED 101–200,AED 25–50,Design,3,5,3,3,4,3,5,4,Other,Price,Probably,Introductory Discounts,Neutral,Not Sure,Local UAE identity
R2901,2025-03-23 23:25,560,18–24,Male,Abu Dhabi,South Asian,"5,000–10,000",Business Owner,Daily,Office; Weddings; Religious Events; Formal Dinners,Ties; Dress Socks,Every 3 months,Brand Store,Physical Store,AED 50–100,AED 51–75,Brand Reputation,4,5,4,2,5,5,1,4,Massimo Dutti; Hugo Boss,Quality,Not Sure,Premium Quality; Social Media Reviews; Luxury Packaging,Neutral,Not Sure,Strong brand reputation
R3187,2025-02-13 00:57,649,35–44,Male,Dubai,Arab Expat,"10,001–20,000",Private Employee,Occasionally,Office; Weddings,Belts,Every 3 months,Online Marketplace,Online,AED 50–100,AED 25–50,Design,3,3,4,5,4,5,3,4,Massimo Dutti,Customer Service,Definitely Not,Social Media Reviews; Influencer Recommendations; Word of Mouth,Unlikely,Probably Would Not,Wide variety of designs
R1244,2025-02-01 12:23,519,35–44,Male,Dubai,South Asian,"5,000–10,000",Student,Once a week,Never,None,Once a year,Shopping Mall,Physical Store,Under AED 50,AED 25–50,Price,3,5,3,2,4,4,3,1,Zara; H&M,Customer Service,Definitely Not,Social Media Reviews; Word of Mouth; Money-back Guarantee,Very Unlikely,Definitely Would Not,Trustworthy after-sales support
R1445,2025-03-22 15:46,285,35–44,Male,Dubai,south asian,"20,001–35,000",Private Employee,Daily,Weddings; Business Meetings; Formal Dinners,Dress Socks; Handkerchiefs; Cufflinks,Monthly,Brand Store,Online,AED 201–300,AED 51–75,Fabric Quality,5,5,4,4,4,4,2,2,Massimo Dutti; Hugo Boss; Brooks Brothers,Design,Probably,Social Media Reviews; Luxury Packaging,Neutral,Probably Would,Trustworthy after-sales support
R1476,2025-03-12 11:18,581,25–34,Female,Sharjah,Emirati,"20,001–35,000",Business Owner,3–5 times/week,Weddings; Parties; Religious Events; Formal Dinners,None,Every 3 months,Brand Website,Online,AED 201–300,Above AED 75,Design,4,4,5,5,5,4,4,4,Zara; Hugo Boss,Design,Definitely,Premium Quality; Word of Mouth; Luxury Packaging,Very Likely,Definitely Would,Exclusive limited editions
R1538,2025-02-01 10:44,60,25–34,Male,Abu Dhabi,Southeast Asian,"Under 5,000",Student,Rarely,Office; Weddings,None,Only when needed,Department Store,Online,Under AED 50,Under AED 25,Price,2,3,3,2,3,4,2,4,Zara; H&M,Product Variety,Definitely Not,Money-back Guarantee,Very Unlikely,Definitely Would Not,Trustworthy after-sales support
R2330,2025-02-25 11:52,416,35–44,Male,Dubai,Arab Expat,"20,001–35,000",Private Employee,Occasionally,Office; Weddings; Parties,Ties,Monthly,Online Marketplace,Physical Store,AED 50–100,AED 25–50,Price,2,4,1,2,4,5,5,3,Massimo Dutti; Brooks Brothers,Customer Service,Probably,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Likely,Probably Would,Sustainable materials
R1255,2025-02-03 09:08,285,35–44,Female,Ras Al Khaimah,South Asian,"Under 5,000",Student,Rarely,Business Meetings; Parties,Dress Socks; Handkerchiefs; Belts,Every 3 months,Brand Website,No Preference,AED 50–100,Under AED 25,Design,4,4,3,3,3,4,2,3,Zara,Price,Not Sure,Introductory Discounts; Word of Mouth; Luxury Packaging,Very Unlikely,Definitely Would Not,Exclusive limited editions
R1451,2025-03-28 19:36,414,45–54,Male,Dubai,South Asian,"5,000–10,000",Student,Rarely,Office; Weddings; Parties; Religious Events,Belts,Once a year,Online Marketplace,Physical Store,Under AED 50,AED 51–75,Price,5,2,3,5,4,2,3,2,Zara; H&M,Product Variety,Not Sure,Introductory Discounts; Premium Quality; Influencer Recommendations,Very Unlikely,Probably Would Not,Strong brand reputation
R3771,2025-02-22 09:43,486,35–44,Female,Fujairah,Arab Expat,"10,001–20,000",Self-employed,Occasionally,Office; Weddings; Business Meetings,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks,Monthly,Tailor/Boutique,Physical Store,AED 201–300,Under AED 25,Design,5,4,3,5,3,4,3,4,Hugo Boss,Quality,Probably,Social Media Reviews; Word of Mouth; Money-back Guarantee,Neutral,Not Sure,Affordable pricing
R2488,2025-02-25 16:53,270,45–54,Male,Dubai,Other,"Above 35,000",Government Employee,Daily,Office; Business Meetings; Parties,Ties; Dress Socks; Handkerchiefs,Every 6 months,Tailor/Boutique,No Preference,AED 101–200,AED 51–75,Comfort,4,3,4,5,5,5,5,5,Massimo Dutti; Brooks Brothers,Design,Not Sure,Influencer Recommendations; Money-back Guarantee,Neutral,Not Sure,Affordable pricing
R2744,2025-03-31 15:31,16,35–44,Male,Sharjah,European,"20,001–35,000",Government Employee,Once a week,Office; Weddings; Business Meetings; Parties; Religious Events,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Only when needed,Shopping Mall,Physical Store,Above AED 300,AED 51–75,Brand Reputation,5,2,4,4,5,5,5,3,Hugo Boss; Brooks Brothers,Prestige,Not Sure,Word of Mouth,Unlikely,Probably Would Not,Strong brand reputation
R3357,2025-02-04 17:41,156,25–34,Male,Dubai,African,"10,001–20,000",Other,Rarely,Office; Weddings; Formal Dinners,Ties,Monthly,Department Store,Physical Store,AED 50–100,AED 51–75,Price,2,5,3,1,4,4,1,2,Other,Customer Service,Probably,Influencer Recommendations; Money-back Guarantee,Neutral,Not Sure,Wide variety of designs
R3230,2025-02-05 04:16,359,25–34,Female,Dubai,South Asian,"5,000–10,000",Student,Rarely,Office,None,Once a year,Online Marketplace,No Preference,Under AED 50,AED 25–50,Price,4,2,3,3,3,5,3,1,H&M,Customer Service,Probably Not,Introductory Discounts; Social Media Reviews,Very Unlikely,Definitely Would Not,Premium fabric quality
R3425,2025-02-19 01:59,547,35–44,Male,Abu Dhabi,Southeast Asian,"10,001–20,000",Government Employee,Once a week,Never,Pocket Squares; Handkerchiefs; Belts,Every 3 months,Brand Website,Physical Store,Above AED 300,Under AED 25,Comfort,3,4,3,2,5,4,4,5,Massimo Dutti; Charles Tyrwhitt,Customer Service,Not Sure,Introductory Discounts; Premium Quality; Money-back Guarantee,Neutral,Not Sure,Sustainable materials
R3498,2025-03-31 14:39,412,35–44,Male,Abu Dhabi,Arab Expat,"Above 35,000",Government Employee,Daily,Office; Weddings; Business Meetings; Parties,Pocket Squares; Cufflinks; Belts,Every 3 months,Brand Store,Physical Store,AED 101–200,Under AED 25,Fabric Quality,4,4,3,4,4,5,5,5,Hugo Boss,Quality,Probably,Premium Quality; Influencer Recommendations; Money-back Guarantee,Likely,Probably Would,Durability and long-lasting material
R3346,2025-03-23 22:02,360,45–54,Male,Abu Dhabi,Southeast Asian,"10,001–20,000",Private Employee,Occasionally,Office; Business Meetings,Ties; Pocket Squares; Dress Socks; Cufflinks; Belts,Only when needed,Brand Website,Physical Store,AED 50–100,AED 51–75,Design,3,2,3,4,3,4,5,2,Zara,Price,Not Sure,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Unlikely,Probably Would Not,Durability and long-lasting material
R3884,2025-02-03 16:44,437,35–44,Male,Abu Dhabi,South Asian,"20,001–35,000",Self-employed,Once a week,Weddings; Business Meetings; Religious Events,Ties; Handkerchiefs; Belts,Every 3 months,Brand Website,Online,AED 50–100,Under AED 25,Price,2,4,3,4,3,3,2,3,Zara; Hugo Boss,Quality,Definitely,Introductory Discounts; Premium Quality; Word of Mouth,Neutral,Probably Would,Good customer service
R1948,2025-03-04 18:53,344,45–54,Female,Sharjah,Emirati,"20,001–35,000",Private Employee,Occasionally,Office; Weddings; Business Meetings; Parties,None,Once a year,Online Marketplace,Physical Store,AED 101–200,Above AED 75,Fabric Quality,2,4,5,4,4,4,3,5,Other,Price,Probably,Introductory Discounts; Premium Quality; Social Media Reviews,Unlikely,Probably Would Not,Unique and elegant designs
R1510,2025-03-21 16:47,363,18–24,Female,Sharjah,Emirati,"5,000–10,000",Private Employee,Daily,Office; Business Meetings; Religious Events,Pocket Squares; Dress Socks,Every 3 months,Brand Store,Online,AED 101–200,Above AED 75,Fabric Quality,5,4,4,5,3,5,2,5,Hugo Boss,Quality,Probably,Premium Quality,Neutral,Not Sure,Trustworthy after-sales support
R2393,2025-03-27 18:49,254,18–24,Male,Sharjah,Emirati,"5,000–10,000",Private Employee,Once a week,Weddings; Business Meetings; Formal Dinners,Ties; Dress Socks; Handkerchiefs; Cufflinks; Belts,Every 6 months,Shopping Mall,Physical Store,AED 101–200,AED 25–50,Price,2,5,4,3,4,4,3,2,Zara; H&M; Hugo Boss; Brooks Brothers,Quality,Probably,Social Media Reviews; Word of Mouth,Neutral,Not Sure,Unique and elegant designs
R2508,2025-02-07 14:54,570,25–34,Male,Abu Dhabi,South Asian,"10,001–20,000",Private Employee,Once a week,Office; Weddings; Business Meetings; Formal Dinners,Ties; Dress Socks,Every 6 months,Department Store,Online,Above AED 300,AED 25–50,Brand Reputation,5,5,3,5,5,5,4,3,Massimo Dutti; Brooks Brothers,Customer Service,Definitely,Introductory Discounts; Social Media Reviews; Luxury Packaging,Likely,Probably Would,Local UAE identity
R2864,2025-02-10 17:46,75,35–44,Male,Sharjah,Emirati,"10,001–20,000",Private Employee,3–5 times/week,Office; Weddings; Business Meetings,Dress Socks,Only when needed,Online Marketplace,Physical Store,Above AED 300,Under AED 25,Comfort,3,4,5,4,5,4,3,4,Other,Design,Not Sure,Social Media Reviews; Money-back Guarantee,Unlikely,Probably Would Not,Fast and reliable delivery
R3269,2025-03-03 22:50,321,45–54,Male,Dubai,South Asian,"10,001–20,000",Government Employee,Daily,Weddings; Business Meetings; Formal Dinners,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Belts,Once a year,Shopping Mall,Online,AED 101–200,Above AED 75,Comfort,4,5,2,5,3,4,4,5,Zara; H&M; Massimo Dutti,Design,Probably,Premium Quality; Social Media Reviews; Word of Mouth,Very Likely,Definitely Would,Durability and long-lasting material
R2331,2025-03-03 10:57,174,25–34,Female,Ajman,European,"5,000–10,000",Government Employee,Rarely,Weddings,Belts,Only when needed,Shopping Mall,Online,AED 101–200,Above AED 75,Durability,3,2,2,3,3,5,3,2,Zara,Product Variety,Probably Not,Introductory Discounts; Premium Quality; Social Media Reviews,Very Unlikely,Definitely Would Not,Wide variety of designs
R2309,2025-03-16 11:28,651,45–54,Male,Dubai,South Asian,"20,001–35,000",Private Employee,Once a week,Business Meetings,Belts,Monthly,Department Store,Physical Store,AED 101–200,Under AED 25,Brand Reputation,5,2,5,4,5,4,4,4,Other,Quality,Probably,Premium Quality; Word of Mouth; Money-back Guarantee,Likely,Probably Would,Fast and reliable delivery
R2847,2025-03-01 14:23,390,35–44,Male,Dubai,South Asian,"10,001–20,000",Private Employee,Daily,Office; Weddings; Formal Dinners,Ties; Dress Socks; Handkerchiefs; Belts,Monthly,Brand Store,Online,AED 101–200,AED 25–50,Brand Reputation,5,5,4,4,3,4,3,3,Charles Tyrwhitt,Product Variety,Probably,Premium Quality; Influencer Recommendations; Word of Mouth,Neutral,Probably Would,Value for money
R2879,2025-03-29 19:54,371,35–44,Male,Ras Al Khaimah,European,"5,000–10,000",Private Employee,Rarely,Office; Religious Events,Belts,Only when needed,Online Marketplace,Physical Store,Under AED 50,Under AED 25,Fabric Quality,2,3,4,2,4,3,3,2,Zara; H&M,Quality,Probably,Social Media Reviews; Influencer Recommendations,Likely,Probably Would,Durability and long-lasting material
R3638,2025-02-14 12:14,257,45–54,Male,Abu Dhabi,African,"10,001–20,000",Private Employee,Occasionally,Weddings; Business Meetings; Parties,Ties; Belts,Once a year,Shopping Mall,Physical Store,AED 101–200,Under AED 25,Design,4,3,3,4,5,4,4,2,Hugo Boss,Quality,Probably,Premium Quality; Social Media Reviews; Word of Mouth,Likely,Probably Would,Good customer service
R3443,2025-02-25 13:46,766,25–34,Male,Dubai,South Asian,"20,001–35,000",Private Employee,3–5 times/week,Office,Pocket Squares; Cufflinks; Belts,Monthly,Tailor/Boutique,Physical Store,AED 101–200,AED 25–50,Brand Reputation,4,4,4,5,5,3,3,2,Massimo Dutti,Quality,Probably,Premium Quality,Very Likely,Definitely Would,Good customer service
R3941,2025-02-21 02:21,306,25–34,Male,Dubai,Arab Expat,"5,000–10,000",Student,Rarely,Weddings; Business Meetings; Parties,Ties; Belts,Once a year,Shopping Mall,Online,AED 101–200,AED 25–50,Price,4,3,3,4,4,4,3,3,Zara; H&M,Design,Not Sure,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Unlikely,Probably Would Not,Unique and elegant designs
R2897,2025-04-01 06:11,224,25–34,Male,Dubai,European,"5,000–10,000",Private Employee,Once a week,Weddings,Belts,Every 3 months,Online Marketplace,Online,AED 50–100,Under AED 25,Price,3,3,2,4,2,4,4,2,Other,Quality,Probably,Introductory Discounts; Premium Quality; Influencer Recommendations,Very Unlikely,Definitely Would Not,Exclusive limited editions
R3440,2025-03-13 20:07,395,55+,Male,Sharjah,South Asian,"5,000–10,000",Private Employee,Rarely,Office,Belts,Every 6 months,Shopping Mall,Physical Store,Under AED 50,Under AED 25,Price,1,3,2,3,5,4,5,5,Zara,Price,Probably,Social Media Reviews; Influencer Recommendations; Money-back Guarantee,Neutral,Not Sure,Good customer service
R3398,2025-02-07 04:16,236,18–24,Male,Umm Al Quwain,South Asian,"Under 5,000",Private Employee,3–5 times/week,Never,Ties; Belts,Monthly,Online Marketplace,No Preference,AED 50–100,AED 25–50,Comfort,5,4,3,4,4,4,3,2,Massimo Dutti,Quality,Definitely,Premium Quality; Social Media Reviews; Money-back Guarantee,Likely,Probably Would,Luxury packaging
R1621,2025-03-26 12:34,379,25–34,Male,Dubai,Southeast Asian,"10,001–20,000",Self-employed,Once a week,Office; Weddings; Business Meetings; Religious Events,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Belts,Only when needed,Brand Website,No Preference,AED 101–200,AED 51–75,Design,5,5,5,2,3,4,4,5,Zara; Charles Tyrwhitt,Quality,Definitely,Influencer Recommendations; Word of Mouth; Luxury Packaging,Very Likely,Definitely Would,Comfort and fit
R2510,2025-03-05 22:25,379,18–24,Male,Abu Dhabi,Emirati,"Under 5,000",Private Employee,Daily,Weddings; Parties; Formal Dinners,Ties; Dress Socks,Monthly,Shopping Mall,Physical Store,AED 50–100,AED 25–50,Brand Reputation,4,4,5,3,2,5,4,3,Zara,Quality,Not Sure,Introductory Discounts; Premium Quality; Luxury Packaging,Unlikely,Probably Would Not,Exclusive limited editions
R3546,2025-03-04 21:01,666,55+,Prefer not to say,Sharjah,Emirati,"20,001–35,000",Government Employee,Occasionally,Office,Ties; Dress Socks,Once a year,Shopping Mall,Online,AED 201–300,Under AED 25,Design,2,2,1,2,3,5,4,4,Other,Price,Not Sure,Introductory Discounts; Social Media Reviews; Luxury Packaging,Unlikely,Probably Would Not,Local UAE identity
R2671,2025-02-06 20:02,404,35–44,Male,Dubai,European,"Under 5,000",Student,Rarely,Weddings,Pocket Squares; Dress Socks; Belts,Every 6 months,Shopping Mall,Online,Under AED 50,AED 51–75,Design,3,4,3,2,5,4,3,3,Zara; H&M,Price,Not Sure,Social Media Reviews; Influencer Recommendations,Unlikely,Probably Would Not,Local UAE identity
R2700,2025-03-15 23:21,387,45–54,Prefer not to say,DUBAI,European,"Under 5,000",Student,Occasionally,Formal Dinners,Dress Socks; Handkerchiefs; Belts,Every 3 months,Shopping Mall,Physical Store,Under AED 50,Under AED 25,Comfort,3,4,4,3,3,4,3,4,Other,Quality,Not Sure,Introductory Discounts; Money-back Guarantee,Very Unlikely,Definitely Would Not,Comfort and fit
R3810,2025-03-08 07:43,21,18–24,Male,Sharjah,Other,"Under 5,000",Student,Rarely,Never,Dress Socks; Belts,Every 6 months,Shopping Mall,No Preference,AED 50–100,Under AED 25,Design,3,4,3,3,3,3,3,3,Other,Customer Service,Probably,Social Media Reviews,Unlikely,Probably Would Not,Comfort and fit
R2200,2025-02-13 17:45,238,35–44,Male,Dubai,Emirati,"5,000–10,000",Student,Once a week,Weddings; Parties,Pocket Squares; Dress Socks,Once a year,Department Store,No Preference,AED 101–200,Under AED 25,Price,4,5,2,4,4,5,2,1,H&M,Customer Service,Definitely,Introductory Discounts; Premium Quality; Influencer Recommendations,Likely,Probably Would,Unique and elegant designs
R3693,2025-03-30 21:57,294,55+,Female,Dubai,South Asian,"10,001–20,000",Private Employee,3–5 times/week,Office; Business Meetings; Parties; Religious Events; Formal Dinners,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Belts,Only when needed,Shopping Mall,No Preference,AED 101–200,AED 51–75,Comfort,5,4,4,5,4,5,2,3,Other,Customer Service,Probably,Introductory Discounts; Premium Quality; Luxury Packaging,Likely,Probably Would,Trustworthy after-sales support
R1663,2025-02-07 10:24,437,18–24,Male,Sharjah,European,"10,001–20,000",Self-employed,Rarely,Office; Religious Events,Pocket Squares; Dress Socks,Once a year,Online Marketplace,Online,AED 201–300,AED 51–75,Price,2,4,3,5,3,4,5,4,Zara; H&M,Price,Probably,Introductory Discounts; Premium Quality; Word of Mouth,Unlikely,Probably Would Not,Trustworthy after-sales support
R1774,2025-03-14 23:26,283,Under 18,Male,Abu Dhabi,European,"Under 5,000",Government Employee,3–5 times/week,Parties,None,Only when needed,Brand Website,No Preference,Under AED 50,AED 25–50,Durability,5,3,2,3,4,4,3,4,Zara; H&M,Design,Not Sure,Introductory Discounts; Word of Mouth; Money-back Guarantee,Unlikely,Not Sure,Comfort and fit
R1573,2025-02-14 08:55,527,35–44,Male,Abu Dhabi,Southeast Asian,"10,001–20,000",Private Employee,Occasionally,Formal Dinners,Pocket Squares,Every 6 months,Shopping Mall,Physical Store,AED 101–200,AED 25–50,Price,4,4,4,2,5,3,2,4,Massimo Dutti; Charles Tyrwhitt,Customer Service,Probably Not,Introductory Discounts; Influencer Recommendations; Luxury Packaging,Very Unlikely,Definitely Would Not,Fast and reliable delivery
R2918,2025-03-10 17:24,452,35–44,Female,Ras Al Khaimah,European,"20,001–35,000",Private Employee,Rarely,Office; Weddings; Business Meetings,Pocket Squares; Belts,Once a year,Online Marketplace,Physical Store,AED 50–100,AED 25–50,Design,3,3,4,4,4,2,4,4,H&M,Customer Service,Not Sure,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Unlikely,Probably Would Not,Wide variety of designs
R3336,2025-02-12 12:49,307,45–54,Male,Sharjah,South Asian,"5,000–10,000",Private Employee,Daily,Weddings; Business Meetings,Ties; Pocket Squares; Dress Socks; Belts,Every 6 months,Online Marketplace,No Preference,Under AED 50,AED 25–50,Brand Reputation,3,3,3,5,4,2,4,1,Massimo Dutti; Hugo Boss,Product Variety,Probably Not,Social Media Reviews,Very Unlikely,Definitely Would Not,Exclusive limited editions
R2818,2025-03-11 21:18,499,25–34,Male,Fujairah,South Asian,"10,001–20,000",Private Employee,Once a week,Business Meetings; Religious Events; Formal Dinners,Ties; Pocket Squares; Dress Socks; Cufflinks,Every 6 months,Brand Store,Online,AED 201–300,Above AED 75,Brand Reputation,4,4,5,4,5,3,4,5,H&M; Hugo Boss; Charles Tyrwhitt; Brooks Brothers,Price,Definitely,Premium Quality,Likely,Probably Would,Premium fabric quality
R3622,2025-03-22 20:31,310,25–34,Male,Dubai,Arab Expat,"10,001–20,000",Other,Rarely,Weddings; Business Meetings,Dress Socks; Belts,Every 3 months,Tailor/Boutique,No Preference,Under AED 50,Under AED 25,Design,3,4,4,4,4,4,3,2,Other,Design,Probably,Social Media Reviews; Word of Mouth; Money-back Guarantee,Unlikely,Probably Would Not,Trustworthy after-sales support
R2906,2025-03-26 10:45,259,25–34,Female,Abu Dhabi,Southeast Asian,"10,001–20,000",Private Employee,3–5 times/week,Weddings; Formal Dinners,Ties; Dress Socks; Belts,Every 6 months,Online Marketplace,Physical Store,AED 50–100,AED 25–50,Durability,4,4,3,4,3,3,3,4,Zara; Hugo Boss; Brooks Brothers,Quality,Not Sure,Social Media Reviews,Unlikely,Probably Would Not,Value for money
R2121,2025-03-27 08:48,440,18–24,Male,Dubai,South Asian,"10,001–20,000",Government Employee,Daily,Business Meetings; Parties; Religious Events; Formal Dinners,Ties; Dress Socks; Belts,Every 3 months,Brand Website,Online,Under AED 50,AED 25–50,Durability,4,5,5,4,4,5,1,2,Massimo Dutti,Prestige,Definitely,Introductory Discounts; Premium Quality; Social Media Reviews,Very Likely,Definitely Would,Unique and elegant designs
R3015,2025-02-27 18:21,300,25–34,Male,Dubai,Emirati,"20,001–35,000",Private Employee,Daily,Office; Business Meetings; Religious Events; Formal Dinners,Ties; Cufflinks; Belts,Monthly,Brand Store,Online,AED 50–100,AED 25–50,Design,3,4,5,4,5,4,3,4,H&M; Brooks Brothers,Quality,Probably,Premium Quality,Likely,Probably Would,Local UAE identity
R3531,2025-03-02 19:18,439,35–44,Female,Dubai,South Asian,"5,000–10,000",Private Employee,Daily,Office; Weddings,Ties; Pocket Squares; Handkerchiefs,Only when needed,Shopping Mall,Online,AED 101–200,Under AED 25,Fabric Quality,5,4,5,2,5,3,3,4,Zara,Price,Probably,Influencer Recommendations,Likely,Probably Would,Local UAE identity
R3027,2025-02-03 16:04,518,25–34,Male,Sharjah,European,"10,001–20,000",Self-employed,Rarely,Office; Weddings; Business Meetings; Formal Dinners,Ties,Only when needed,Brand Website,Physical Store,AED 101–200,AED 51–75,Brand Reputation,4,3,4,5,4,4,3,2,Other,Prestige,Definitely,Premium Quality; Luxury Packaging; Money-back Guarantee,Very Likely,Definitely Would,Comfort and fit
R1139,2025-03-16 13:49,396,18–24,Male,Abu Dhabi,South Asian,"10,001–20,000",Self-employed,Rarely,Office; Weddings; Business Meetings; Formal Dinners,Ties,Every 3 months,Online Marketplace,Online,AED 101–200,AED 25–50,Comfort,4,3,4,3,4,5,2,4,Zara; Hugo Boss; Charles Tyrwhitt,Price,Probably,Luxury Packaging; Money-back Guarantee,Likely,Probably Would,Durability and long-lasting material
R3031,2025-03-17 10:38,337,25–34,Female,Dubai,South Asian,"10,001–20,000",Business Owner,3–5 times/week,Office; Weddings; Business Meetings,Ties; Dress Socks,Every 6 months,Online Marketplace,No Preference,AED 201–300,AED 51–75,Durability,5,3,4,4,5,5,4,5,Massimo Dutti; Hugo Boss,Quality,Probably,Introductory Discounts; Premium Quality; Word of Mouth,Neutral,Not Sure,Durability and long-lasting material
R1282,2025-03-06 03:09,544,25–34,Male,Dubai,Arab Expat,"5,000–10,000",Other,Once a week,Never,Ties; Dress Socks; Belts,Every 6 months,Brand Store,Physical Store,AED 201–300,Under AED 25,Price,4,3,2,3,3,2,3,1,H&M,Price,Not Sure,Introductory Discounts; Social Media Reviews,Unlikely,Probably Would Not,Exclusive limited editions
R1258,2025-02-08 04:07,68,18–24,Male,Abu Dhabi,Arab Expat,"Under 5,000",Private Employee,Once a week,Formal Dinners,Handkerchiefs,Every 3 months,Online Marketplace,No Preference,AED 50–100,AED 25–50,Design,4,3,4,2,4,3,2,1,Other,Design,Probably,Social Media Reviews; Money-back Guarantee,Unlikely,Probably Would Not,Local UAE identity
R1616,2025-02-06 20:22,115,35–44,Male,Dubai,South Asian,"20,001–35,000",Government Employee,Daily,Office; Weddings; Business Meetings; Parties; Formal Dinners,Ties; Belts,Every 3 months,Online Marketplace,No Preference,AED 201–300,AED 51–75,Price,3,5,4,5,3,4,5,3,H&M; Massimo Dutti; Brooks Brothers,Quality,Not Sure,Introductory Discounts; Premium Quality; Luxury Packaging,Neutral,Not Sure,Luxury packaging
R2797,2025-03-04 06:34,225,25–34,Male,Ajman,South Asian,"10,001–20,000",Private Employee,Rarely,Religious Events,Dress Socks; Belts,Only when needed,Shopping Mall,Physical Store,AED 201–300,Under AED 25,Comfort,4,4,4,3,3,5,2,1,Massimo Dutti,Quality,Not Sure,Introductory Discounts; Social Media Reviews; Influencer Recommendations,Very Unlikely,Definitely Would Not,Wide variety of designs
R3185,2025-02-02 19:33,205,25–34,Female,Ras Al Khaimah,Arab Expat,"10,001–20,000",Private Employee,Rarely,Never,Dress Socks; Cufflinks; Belts,Only when needed,Online Marketplace,Online,Under AED 50,Under AED 25,Comfort,4,3,1,3,3,4,4,3,Other,Price,Probably Not,Premium Quality; Social Media Reviews,Very Unlikely,Definitely Would Not,Sustainable materials
R3114,2025-02-14 05:48,534,Under 18,Male,Dubai,Emirati,"5,000–10,000",Private Employee,Daily,Office; Weddings; Business Meetings; Religious Events,Pocket Squares; Dress Socks; Cufflinks; Belts,Every 6 months,Brand Website,No Preference,Above AED 300,AED 25–50,Design,5,4,4,5,4,5,4,4,Massimo Dutti,Quality,Probably,Introductory Discounts; Premium Quality; Word of Mouth,Neutral,Not Sure,Affordable pricing
R1725,2025-03-08 19:17,256,18–24,Male,Dubai,European,"Under 5,000",Private Employee,Once a week,Office; Weddings,Dress Socks; Belts,Every 3 months,Department Store,Physical Store,AED 101–200,AED 25–50,Price,5,2,3,4,2,4,3,4,Charles Tyrwhitt; Brooks Brothers,Quality,Probably,Introductory Discounts; Social Media Reviews,Neutral,Not Sure,Wide variety of designs
R2636,2025-03-28 05:46,358,25–34,Male,Abu Dhabi,Other,"Under 5,000",Private Employee,Once a week,Office; Parties; Formal Dinners,Ties; Pocket Squares; Handkerchiefs; Belts,Every 6 months,Department Store,No Preference,AED 50–100,AED 25–50,Fabric Quality,4,4,2,3,4,4,4,2,Other,Design,Not Sure,Introductory Discounts; Social Media Reviews; Money-back Guarantee,Unlikely,Probably Would Not,Local UAE identity
